,Date,Close,Change,Change_Percentage,PROC,rci,days
200,2000-10-20,3692.75,-10.08,-0.1008,0.154282350947,50.2650657639,-5689.0
201,2000-10-23,3619.53,-73.22,-0.7322,0.151209800344,48.6788059289,-5686.0
202,2000-10-24,3651.99,32.46,0.3246,0.155658054448,51.3644900345,-5685.0
203,2000-10-25,3743.61,91.62,0.9162,0.120640326975,52.8097661382,-5684.0
204,2000-10-26,3757.16,13.55,0.1355,0.0682501853749,50.7299591648,-5683.0
205,2000-10-27,3729.12,-28.04,-0.2804,0.106472296501,49.6411285384,-5682.0
206,2000-10-30,3689.43,-39.69,-0.3969,0.0978462335986,49.3310594885,-5679.0
207,2000-10-31,3711.02,21.59,0.2159,0.108806224634,51.0136927176,-5678.0
208,2000-11-01,3788.53,77.51,0.7751,0.0685576464456,52.5179786637,-5677.0
209,2000-11-02,3875.79,87.26,0.8726,0.052462118434,52.782282395,-5676.0
210,2000-11-03,3935.7,59.91,0.5991,0.0483248902806,51.9344932262,-5675.0
211,2000-11-06,3931.54,-4.16,-0.0416,0.0550114051259,49.9688634699,-5672.0
212,2000-11-07,3954.83,23.29,0.2329,0.0392153051928,50.8028868386,-5671.0
213,2000-11-08,4028.71,73.88,0.7388,0.0155678058459,52.3338864477,-5670.0
214,2000-11-09,4022.5,-6.21,-0.0621,0.0082764843802,49.7704318,-5669.0
215,2000-11-10,3941.13,-81.37,-0.8137,0.00105188985319,47.4882890507,-5668.0
216,2000-11-13,3820.08,-121.05,-1.2105,0.00428253803587,46.3161111418,-5665.0
217,2000-11-14,3943.54,123.46,1.2346,-0.0249403521174,53.6814404895,-5664.0
218,2000-11-15,3946.53,2.99,0.0299,-0.0555239065722,50.138171416,-5663.0
219,2000-11-16,3901.9,-44.63,-0.4463,-0.0464589250323,48.8068694881,-5662.0
220,2000-11-17,3905.84,3.94,0.0394,-0.0657745737136,50.216411851,-5661.0
221,2000-11-20,3926.52,20.68,0.2068,-0.0926333540181,50.7054668564,-5658.0
222,2000-11-21,3924.7,-1.82,-0.0182,-0.0599190349003,50.015060892,-5657.0
223,2000-11-22,3862.39,-62.31,-0.6231,-0.0459386635976,48.1715463889,-5656.0
224,2000-11-23,3852.4,-9.99,-0.0999,-0.0643370824389,49.8432692586,-5655.0
225,2000-11-24,3868.34,15.94,0.1594,-0.0592416737176,50.6677245637,-5654.0
226,2000-11-27,3969.2,100.86,1.0086,-0.0602600164013,53.2961932093,-5651.0
227,2000-11-28,4023.92,54.72,0.5472,-0.0710004364999,51.730554513,-5650.0
228,2000-11-29,3996.18,-27.74,-0.2774,-0.0716147509332,49.0389725172,-5649.0
229,2000-11-30,3997.99,1.81,0.0181,-0.0836335152042,50.0133644892,-5648.0
230,2000-12-01,4031.96,33.97,0.3397,-0.0864829615577,51.0776701281,-5647.0
231,2000-12-04,4036.49,4.53,0.0453,-0.0654501878037,50.0576474837,-5644.0
232,2000-12-05,4071.98,35.49,0.3549,-0.0506193576019,51.1306085581,-5643.0
233,2000-12-06,4108.43,36.45,0.3645,-0.0438879995935,51.1646199948,-5642.0
234,2000-12-07,4124.91,16.48,0.1648,-0.0491842891081,50.4017584495,-5641.0
235,2000-12-08,4156.08,31.17,0.3117,-0.050887143063,50.9640217022,-5640.0
236,2000-12-11,4228.29,72.21,0.7221,-0.0495394307359,52.5355863577,-5637.0
237,2000-12-12,4219.48,-8.81,-0.0881,-0.0489695463021,49.2761379365,-5636.0
238,2000-12-13,4284.98,65.5,0.655,-0.0872465511161,52.124307095,-5635.0
239,2000-12-14,4270.45,-14.53,-0.1453,-0.117895436745,49.0248847572,-5634.0
240,2000-12-15,4137.16,-133.29,-1.3329,-0.0490980185316,44.8843369351,-5633.0
241,2000-12-18,4169.39,32.23,0.3223,-0.0564698608651,50.9237909051,-5630.0
242,2000-12-19,4152.94,-16.45,-0.1645,-0.0643378866706,49.2639845557,-5629.0
243,2000-12-20,4086.41,-66.53,-0.6653,-0.0462307723819,47.5955025843,-5628.0
244,2000-12-21,4034.23,-52.18,-0.5218,-0.0274314150953,48.1218460462,-5627.0
245,2000-12-22,3905.9,-128.33,-1.2833,0.00479017504523,45.5819456097,-5626.0
246,2000-12-26,3826.82,-79.08,-0.7908,0.00920932376068,47.4570704166,-5622.0
247,2000-12-27,3877.55,50.73,0.5073,-0.00652839788184,52.0133912598,-5621.0
248,2000-12-28,3932.78,55.23,0.5523,-0.0166583082149,52.1637285974,-5620.0
249,2000-12-29,3972.12,39.34,0.3934,-0.000735664617555,51.5673281447,-5619.0
250,2001-01-01,3955.08,-17.04,-0.1704,0.0171076959781,49.4692994325,-5616.0
251,2001-01-02,4018.88,63.8,0.638,-0.00568042480569,52.3739112684,-5615.0
252,2001-01-03,4060.02,41.14,0.4114,-0.0155152964365,51.5062868203,-5614.0
253,2001-01-04,4115.37,55.35,0.5535,-0.0206872091985,52.0273018434,-5613.0
254,2001-01-05,4183.73,68.36,0.6836,-0.0364772364108,52.5156212018,-5612.0
255,2001-01-08,4120.43,-63.3,-0.633,-0.011898388499,47.4098634044,-5609.0
256,2001-01-09,4125.31,4.88,0.0488,-0.00410862543599,50.0395635315,-5608.0
257,2001-01-10,4047.64,-77.67,-0.7767,0.0187325299219,47.060861655,-5607.0
258,2001-01-11,4027.13,-20.51,-0.2051,0.0310268329772,49.2478586903,-5606.0
259,2001-01-12,4036.58,9.45,0.0945,0.0453398418746,50.3713217043,-5605.0
260,2001-01-15,4046.76,10.18,0.1018,0.0409339539469,50.3992908049,-5602.0
261,2001-01-16,4070.73,23.97,0.2397,0.0500002333733,50.9452664553,-5601.0
262,2001-01-17,4083.41,12.68,0.1268,0.0437986629044,50.4697653783,-5600.0
263,2001-01-18,4113.21,29.8,0.298,0.00578899534947,51.1919596044,-5599.0
264,2001-01-19,4194.46,81.25,0.8125,-0.00601286998818,53.3299637308,-5598.0
265,2001-01-22,4267.11,72.65,0.7265,-0.0274913675613,52.9248332742,-5595.0
266,2001-01-23,4296.69,29.58,0.2958,-0.0514583705502,50.9002972922,-5594.0
267,2001-01-24,4326.42,29.73,0.2973,-0.0724276999576,50.9071349273,-5593.0
268,2001-01-25,4330.22,3.8,0.038,-0.108635653755,49.6573732165,-5592.0
269,2001-01-29,4234.57,-95.65,-0.9565,-0.106550608599,45.2073242668,-5588.0
270,2001-01-30,4372.04,137.47,1.3747,-0.127526401981,55.0737735854,-5587.0
271,2001-01-31,4326.72,-45.32,-0.4532,-0.100168328765,47.9899642955,-5586.0
272,2001-02-01,4286.11,-40.61,-0.4061,-0.0790484678207,48.1695536561,-5585.0
273,2001-02-02,4352.26,66.15,0.6615,-0.100422747454,52.0898074322,-5584.0
274,2001-02-05,4370.47,18.21,0.1821,-0.0874845728163,50.3036356379,-5581.0
275,2001-02-06,4375.29,4.82,0.0482,-0.0776523268358,49.804945651,-5580.0
276,2001-02-07,4312.93,-62.36,-0.6236,-0.0480054041313,47.3431446009,-5579.0
277,2001-02-08,4381.19,68.26,0.6826,-0.0471971183609,52.150766476,-5578.0
278,2001-02-09,4397.33,16.14,0.1614,-0.0672017240919,50.2373819218,-5577.0
279,2001-02-12,4406.3,8.97,0.0897,-0.0681136690334,49.9736863368,-5574.0
280,2001-02-13,4363.05,-43.25,-0.4325,-0.0779244201559,48.0531582471,-5573.0
281,2001-02-14,4363.11,0.0599999999995,0.000599999999995,-0.0834291418454,49.7283289536,-5572.0
282,2001-02-15,4437.99,74.88,0.7488,-0.0994430929153,52.4950986916,-5571.0
283,2001-02-16,4330.32,-107.67,-1.0767,-0.070070871512,46.0328084998,-5570.0
284,2001-02-19,4350.65,20.33,0.2033,-0.0687640791701,50.4997322141,-5567.0
285,2001-02-20,4359.22,8.57,0.0857,-0.0675440379487,50.1014130515,-5566.0
286,2001-02-21,4302.23,-56.99,-0.5699,-0.0459543762657,47.8994528951,-5565.0
287,2001-02-22,4262.55,-39.68,-0.3968,-0.0162333172804,48.5239465112,-5564.0
288,2001-02-23,4122.16,-140.39,-1.4039,0.0339691266454,45.2266300466,-5563.0
289,2001-02-26,4112.69,-9.47,-0.0947,0.0428236619351,49.8573679273,-5560.0
