Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-January-2016,61.05,74.70,61.05,71.25,72.145237154017782363,298498,1515,21535209.00,131829,44.16,13.65,10.20
27-January-2016,62.00,62.50,59.60,62.25,61.509013724121888811,17196,162,1057709.00,10833,63.00,2.90,0.25
25-January-2016,61.80,62.80,58.00,59.05,60.199217688922692453,18407,242,1108087.00,6348,34.49,4.80,-2.75
22-January-2016,50.10,60.00,50.10,58.95,58.551327657646855056,75057,410,4394687.00,39218,52.25,9.90,8.85
21-January-2016,53.90,53.90,50.00,50.00,51.064819522114895780,7868,40,401778.00,3057,38.85,3.90,-3.90
20-January-2016,54.80,54.80,49.80,50.95,50.775209246711837385,7527,66,382185.00,6126,81.39,5.00,-3.85
19-January-2016,49.00,55.50,49.00,52.30,52.226133019423190111,8495,85,443661.00,6114,71.97,6.50,3.30
18-January-2016,56.05,56.05,49.00,52.50,53.053680822344512511,9631,79,510960.00,7123,73.96,7.05,-3.55
15-January-2016,56.60,58.80,55.00,55.35,57.035707447826919394,10446,73,595795.00,6830,65.38,3.80,-1.25
14-January-2016,57.65,58.95,56.70,56.80,57.810111272375423318,4134,53,238987.00,2194,53.07,2.25,-0.85
13-January-2016,59.05,61.40,55.15,58.05,57.809574752607649104,22434,197,1296900.00,13937,62.12,6.25,-1.00
12-January-2016,60.00,63.80,59.40,59.50,60.765126676602086438,10065,132,611601.00,7649,76.00,4.40,-0.50
11-January-2016,59.00,63.40,59.00,61.15,61.112098713792742863,9563,86,584415.00,6622,69.25,4.40,2.15
8-January-2016,59.00,64.00,59.00,61.50,61.647865256560908734,15318,126,944322.00,7684,50.16,5.00,2.50
7-January-2016,63.65,63.65,60.50,60.85,61.731013223731236597,22384,237,1381787.00,13730,61.34,3.15,-2.80
6-January-2016,58.75,70.00,58.75,63.65,65.237007273580478648,238672,1598,15570247.00,83327,34.91,11.25,4.90
5-January-2016,61.15,61.15,58.25,60.00,59.906072904098570436,27351,135,1638491.00,12397,45.33,2.90,-1.15
4-January-2016,59.00,62.80,58.50,58.85,59.796013911182450508,14952,85,894070.00,11031,73.78,4.30,-0.15
1-January-2016,57.00,61.40,57.00,60.20,59.905637010107466741,25031,184,1499498.00,15117,60.39,4.40,3.20
31-December-2015,57.20,59.70,57.20,59.15,58.851108542607964694,9517,47,560086.00,5610,58.95,2.50,1.95
30-December-2015,59.40,59.90,56.00,58.65,58.228110087670624791,18022,111,1049387.00,9062,50.28,3.90,-0.75
29-December-2015,60.70,60.70,56.30,58.05,58.368698865135919767,15156,97,884636.00,9260,61.10,4.40,-2.65
28-December-2015,59.90,59.90,57.00,57.35,57.957652303120356612,4038,40,234033.00,2092,51.81,2.90,-2.55
24-December-2015,59.90,60.20,57.55,58.15,58.681113714182735628,11098,43,651243.00,7986,71.96,2.65,-1.75
23-December-2015,58.00,60.85,56.80,58.10,58.872376734453405928,49223,257,2897875.00,32796,66.63,4.05,0.10
22-December-2015,57.20,59.00,56.20,57.55,57.398260173982601739,20002,99,1148080.00,14424,72.11,2.80,0.35
21-December-2015,56.00,57.00,56.00,56.95,56.831460674157303370,2314,29,131508.00,2094,90.49,1.00,0.95
18-December-2015,57.00,57.50,56.50,57.00,56.973150105708245243,4730,39,269483.00,3581,75.71,1.00,0.00
17-December-2015,58.90,58.90,55.85,57.45,57.374941430044044606,10671,89,612248.00,7530,70.57,3.05,-1.45
16-December-2015,59.40,59.50,55.25,56.85,57.510671203216826476,6466,59,371864.00,5667,87.64,4.25,-2.55
15-December-2015,56.80,57.50,56.80,57.05,56.956118143459915611,2370,14,134986.00,2200,92.83,0.70,0.25
14-December-2015,60.00,60.00,57.25,57.60,58.777359437751004016,3984,38,234169.00,2365,59.36,2.75,-2.40
11-December-2015,59.00,59.40,57.00,57.65,57.560772659732540861,3365,37,193692.00,2660,79.05,2.40,-1.35
10-December-2015,61.65,61.65,57.55,58.15,58.953581432573029211,2499,36,147325.00,1531,61.26,4.10,-3.50
9-December-2015,63.70,63.70,58.00,58.25,59.598945936756205372,5882,52,350561.00,4186,71.17,5.70,-5.45
8-December-2015,61.25,61.80,60.75,60.75,61.267115600448933782,891,15,54589.00,741,83.16,1.05,-0.50
7-December-2015,63.80,63.80,60.50,61.95,61.859844714314154887,5023,47,310722.00,3700,73.66,3.30,-1.85
4-December-2015,61.70,62.00,60.65,61.00,61.462519025875190258,5256,30,323047.00,4504,85.69,1.35,-0.70
3-December-2015,64.00,64.00,60.80,62.15,62.052675898203592814,10688,90,663219.00,6767,63.31,3.20,-1.85
2-December-2015,61.05,62.20,61.05,61.30,61.429500000000000000,2000,13,122859.00,1203,60.15,1.15,0.25
1-December-2015,61.25,64.00,61.00,61.40,62.662379746835443037,9875,71,618791.00,5054,51.18,3.00,0.15
30-November-2015,60.15,62.60,60.00,62.45,61.653135689851767388,4385,60,270349.00,3695,84.26,2.60,2.30
27-November-2015,59.05,62.50,59.05,60.80,60.596645211624731811,5127,56,310679.00,3513,68.52,3.45,1.75
26-November-2015,61.40,61.45,60.00,60.25,60.771872974724562540,1543,22,93771.00,1395,90.41,1.45,-1.15
24-November-2015,61.75,61.75,59.50,60.15,60.249863013698630136,1825,36,109956.00,1282,70.25,2.25,-1.60
23-November-2015,59.55,63.70,59.30,59.70,60.116423196104471004,2259,32,135803.00,1531,67.77,4.40,0.15
20-November-2015,60.00,61.00,59.15,60.00,60.107838695061169007,6621,64,397974.00,5335,80.58,1.85,0.00
19-November-2015,60.60,61.00,60.00,60.60,60.533207724917569477,4246,33,257024.00,4138,97.46,1.00,0.00
18-November-2015,61.00,62.00,60.45,60.90,60.923205342237061769,2995,24,182465.00,2895,96.66,1.55,-0.10
17-November-2015,63.00,63.00,60.20,60.75,61.385424133811230585,4185,46,256898.00,3239,77.40,2.80,-2.25
16-November-2015,60.00,65.00,60.00,60.80,62.170382937469704314,8252,112,513030.00,3478,42.15,5.00,0.80
13-November-2015,62.10,62.90,60.25,60.90,61.336070060207991242,3654,70,224122.00,2600,71.15,2.65,-1.20
11-November-2015,62.00,63.80,62.00,63.80,63.607594936708860759,553,4,35175.00,500,90.42,1.80,1.80
10-November-2015,61.10,63.60,61.10,62.85,63.083302819480043939,5462,60,344561.00,3683,67.43,2.50,1.75
9-November-2015,60.60,63.40,59.00,62.00,60.829935168655454289,10643,162,647413.00,4254,39.97,4.40,1.40
6-November-2015,71.80,74.30,67.00,67.10,69.553174972830305853,6441,62,447992.00,4345,67.46,7.30,-4.70
5-November-2015,66.95,75.00,66.95,69.00,71.167710026631618994,28913,343,2057672.00,10520,36.39,8.05,2.05
4-November-2015,66.00,67.90,66.00,66.25,66.283582089552238805,804,11,53292.00,803,99.88,1.90,0.25
3-November-2015,66.05,66.90,65.30,65.50,65.852373158756137479,3055,18,201179.00,2850,93.29,1.60,-0.55
2-November-2015,66.00,67.00,66.00,66.10,66.181043956043956043,3640,20,240899.00,3640,100.00,1.00,0.10
30-October-2015,65.10,66.50,65.10,65.75,65.645861974154522958,7274,39,477508.00,4966,68.27,1.40,0.65
29-October-2015,66.80,66.80,65.00,66.35,66.038461538461538461,2366,30,156247.00,1854,78.36,1.80,-0.45
28-October-2015,66.00,66.75,65.00,65.65,65.493110647181628392,2395,25,156856.00,1884,78.66,1.75,-0.35
27-October-2015,65.55,65.60,65.35,65.35,65.541832669322709163,251,6,16451.00,251,100.00,0.25,-0.20
26-October-2015,67.60,67.60,67.60,67.60,67.600000000000000000,10,1,676.00,10,100.00,0.00,0.00
23-October-2015,67.95,67.95,65.40,65.95,65.986144578313253012,3320,19,219074.00,3110,93.67,2.55,-2.00
21-October-2015,65.50,66.50,65.00,65.95,65.450052854122621564,3784,29,247663.00,2835,74.92,1.50,0.45
20-October-2015,66.00,66.25,64.50,65.50,65.221048841953678147,8333,45,543487.00,5807,69.69,1.75,-0.50
19-October-2015,67.00,67.00,65.15,65.15,65.613614262560777957,3085,22,202418.00,2500,81.04,1.85,-1.85
16-October-2015,64.75,66.90,64.75,65.35,66.207474844274077623,2087,24,138175.00,1512,72.45,2.15,0.60
15-October-2015,65.35,66.40,65.25,66.00,65.849553933495539334,4932,30,324770.00,2900,58.80,1.15,0.65
14-October-2015,65.50,66.00,64.50,65.35,65.285618729096989966,10465,58,683214.00,6323,60.42,1.50,-0.15
13-October-2015,66.00,67.60,64.50,65.85,65.693801344286781179,5356,43,351856.00,3674,68.60,3.10,-0.15
12-October-2015,68.10,68.10,65.85,66.60,66.946095458638878168,7773,30,520372.00,7233,93.05,2.25,-1.50
9-October-2015,67.00,69.00,67.00,68.10,68.086920443937350897,9641,65,656426.00,8400,87.13,2.00,1.10
8-October-2015,65.00,67.60,64.75,66.95,66.077765071066819147,6121,48,404462.00,4611,75.33,2.85,1.95
7-October-2015,67.00,67.95,65.00,65.50,66.142655034190049516,4241,48,280511.00,3744,88.28,2.95,-1.50
6-October-2015,66.25,67.20,65.50,67.05,66.130263157894736842,1520,30,100518.00,1220,80.26,1.70,0.80
5-October-2015,67.00,67.30,66.25,66.75,66.610510895440395531,5461,44,363760.00,4710,86.25,1.05,-0.25
1-October-2015,66.95,67.00,66.00,66.80,66.537672444287230279,2827,29,188102.00,2312,81.78,1.00,-0.15
30-September-2015,65.00,66.00,65.00,65.00,65.490131578947368421,2128,14,139363.00,1876,88.16,1.00,0.00
29-September-2015,66.20,66.20,65.10,65.25,65.460729746444032158,3234,21,211700.00,2683,82.96,1.10,-0.95
28-September-2015,68.00,68.00,65.80,66.15,66.256961018297533810,1257,17,83285.00,1156,91.96,2.20,-1.85
24-September-2015,66.30,67.50,66.00,66.75,66.500837520938023450,597,19,39701.00,451,75.54,1.50,0.45
23-September-2015,65.10,66.85,65.00,66.20,65.538216560509554140,1884,48,123474.00,1311,69.59,1.85,1.10
22-September-2015,67.15,68.10,66.00,66.45,67.058616647127784290,1706,31,114402.00,1155,67.70,2.10,-0.70
21-September-2015,68.40,69.10,67.50,68.00,68.249115044247787610,2260,14,154243.00,2080,92.04,1.60,-0.40
18-September-2015,70.00,70.00,68.10,68.70,68.976011994002998500,1334,14,92014.00,1299,97.38,1.90,-1.30
16-September-2015,69.25,70.00,68.75,70.00,69.899390243902439024,1312,22,91708.00,1202,91.62,1.25,0.75
15-September-2015,71.40,71.40,69.10,70.95,69.766666666666666666,630,12,43953.00,450,71.43,2.30,-0.45
14-September-2015,71.00,71.30,70.00,70.20,71.058552752715890259,5431,30,385919.00,4948,91.11,1.30,-0.80
11-September-2015,71.40,72.00,69.60,71.35,71.402856292770008925,3361,34,239985.00,2115,62.93,2.40,-0.05
10-September-2015,68.40,72.10,68.40,70.50,70.078431372549019607,663,10,46462.00,623,93.97,3.70,2.10
9-September-2015,67.30,73.85,67.30,73.15,71.443351772177832411,4881,63,348715.00,4333,88.77,6.55,5.85
8-September-2015,70.00,70.00,68.00,69.40,69.058974358974358974,390,14,26933.00,250,64.10,2.00,-0.60
7-September-2015,69.70,70.00,67.20,68.40,69.052903225806451612,2325,59,160548.00,1713,73.68,2.80,-1.30
4-September-2015,68.40,69.95,65.20,68.50,68.525596529284164859,9220,128,631806.00,5600,60.74,4.75,0.10
3-September-2015,69.00,69.40,66.00,68.30,67.820612431444241316,4376,111,296783.00,1867,42.66,3.40,-0.70
2-September-2015,66.50,68.50,64.45,67.10,66.926871634531874240,5757,47,385298.00,5609,97.43,4.05,0.60
1-September-2015,65.00,67.00,64.35,64.40,65.044144556267154620,4372,31,284373.00,3620,82.80,2.65,-0.60
31-August-2015,65.25,72.50,65.25,67.40,68.471607314725697786,2078,20,142284.00,1528,73.53,7.25,2.15
28-August-2015,72.50,72.95,69.10,69.30,71.702272727272727272,16280,67,1167313.00,14220,87.35,3.85,-3.20
27-August-2015,69.95,70.60,67.35,68.05,68.565469656578328367,6377,88,437242.00,5282,82.83,3.25,-1.90
26-August-2015,65.25,69.90,64.00,68.75,68.442863629483880732,6607,64,452202.00,4778,72.32,5.90,3.50
25-August-2015,62.50,70.00,54.30,67.65,61.160955888239532463,24982,287,1527923.00,12698,50.83,15.70,5.15
24-August-2015,70.90,73.65,66.00,67.25,69.002309468822170900,6062,99,418292.00,3767,62.14,7.65,-3.65
21-August-2015,75.00,77.90,73.50,76.50,75.961088471144998028,7607,97,577836.00,6379,83.86,4.40,1.50
20-August-2015,75.50,77.75,74.50,74.55,75.985423728813559322,2950,45,224157.00,2700,91.53,3.25,-0.95
19-August-2015,76.90,77.00,75.50,75.85,75.946906965416463711,2053,50,155919.00,1851,90.16,1.50,-1.05
18-August-2015,75.90,77.90,75.00,75.85,76.363369245837414299,6126,72,467802.00,4939,80.62,2.90,-0.05
17-August-2015,78.00,78.00,73.10,75.15,75.061962912709181365,4422,42,331924.00,3772,85.30,4.90,-2.85
14-August-2015,72.05,75.50,72.05,75.05,74.121690862510674637,4684,84,347186.00,3637,77.65,3.45,3.00
13-August-2015,77.00,79.00,74.00,74.55,76.854188948306595365,11220,191,862304.00,7058,62.91,5.00,-2.45
12-August-2015,70.00,75.75,66.50,74.30,72.416566799290542160,20861,208,1510682.00,18712,89.70,9.25,4.30
11-August-2015,76.30,76.30,67.00,70.00,72.211187302565683026,12979,142,937229.00,11869,91.45,9.30,-6.30
10-August-2015,83.25,83.25,75.50,75.70,76.367884451996601529,10593,163,808965.00,9454,89.25,7.75,-7.55
7-August-2015,79.00,79.50,75.50,77.15,77.538159316373637167,10181,130,789416.00,8837,86.80,4.00,-1.85
6-August-2015,79.00,80.15,74.50,77.70,77.193708721999046776,14687,259,1133744.00,9701,66.05,5.65,-1.30
5-August-2015,71.20,79.50,71.00,77.25,75.974791981181757539,28483,400,2163990.00,18814,66.05,8.50,6.05
4-August-2015,72.45,73.10,70.00,72.20,70.987177171753657215,5537,116,393056.00,3216,58.08,3.10,-0.25
3-August-2015,65.50,71.60,64.20,70.55,69.333848332689584138,15534,338,1077032.00,9795,63.06,7.40,5.05
31-July-2015,64.00,66.85,63.00,63.35,64.488118175979447655,3114,30,200816.00,2067,66.38,3.85,-0.65
30-July-2015,64.00,64.00,62.65,63.15,63.317704918032786885,3050,65,193119.00,1960,64.26,1.35,-0.85
29-July-2015,65.75,66.80,63.65,64.80,65.486128364389233954,2415,50,158149.00,1200,49.69,3.15,-0.95
28-July-2015,62.95,68.35,62.95,65.20,64.611450353428814625,27021,161,1745866.00,23396,86.58,5.40,2.25
27-July-2015,63.00,63.00,61.00,62.60,62.007658643326039387,4570,55,283375.00,3630,79.43,2.00,-0.40
24-July-2015,60.45,63.90,60.45,61.95,61.794114099626100591,8291,75,512335.00,4995,60.25,3.45,1.50
23-July-2015,63.05,63.95,62.70,62.80,63.123896645803241855,6231,63,393325.00,2886,46.32,1.25,-0.25
22-July-2015,67.40,67.40,63.45,63.55,64.318015665796344647,1915,17,123169.00,1565,81.72,3.95,-3.85
21-July-2015,67.50,67.50,63.00,63.50,65.254865616311399443,6474,62,422460.00,4464,68.95,4.50,-4.00
20-July-2015,65.20,67.00,65.20,66.35,66.306250000000000000,3680,57,244007.00,2150,58.42,1.80,1.15
17-July-2015,66.10,68.00,66.10,67.55,67.096900114810562571,8710,103,584414.00,6979,80.13,1.90,1.45
16-July-2015,67.00,68.00,66.00,67.50,67.099167657550535077,4205,35,282152.00,3829,91.06,2.00,0.50
15-July-2015,69.00,70.00,65.30,66.05,67.777668539325842696,7120,117,482577.00,5537,77.77,4.70,-2.95
14-July-2015,67.50,68.95,67.50,68.15,68.320930232558139534,860,21,58756.00,800,93.02,1.45,0.65
13-July-2015,62.10,67.55,62.10,65.90,66.145416953824948311,1451,29,95977.00,735,50.65,5.45,3.80
10-July-2015,68.00,68.90,66.15,66.55,67.379199263690750115,2173,39,146415.00,1329,61.16,2.75,-1.45
9-July-2015,68.60,68.70,63.15,64.85,66.202608065684617242,4141,85,274145.00,3360,81.14,5.55,-3.75
8-July-2015,68.95,68.95,64.50,64.75,65.538843561546647747,2819,58,184754.00,2156,76.48,4.45,-4.20
7-July-2015,71.45,71.45,67.50,69.85,68.158208955223880597,1340,21,91332.00,1337,99.78,3.95,-1.60
6-July-2015,62.35,71.50,62.35,67.55,68.199443090845805777,11492,205,783748.00,8327,72.46,9.15,5.20
3-July-2015,61.55,66.80,61.50,64.05,63.927878103837471783,8860,145,566401.00,7216,81.44,5.30,2.50
2-July-2015,62.00,62.75,61.35,61.50,61.720251293422025129,2706,12,167015.00,2053,75.87,1.40,-0.50
1-July-2015,60.20,64.00,60.20,62.05,62.089967027790861987,8492,88,527268.00,4818,56.74,3.80,1.85
30-June-2015,61.20,62.20,60.00,60.30,60.336585365853658536,1640,37,98952.00,1321,80.55,2.20,-0.90
29-June-2015,58.90,61.45,58.90,60.90,60.966476190476190476,2625,15,160037.00,1675,63.81,2.55,2.00
26-June-2015,61.20,62.90,59.75,60.00,61.241871078151739874,5259,101,322071.00,4554,86.59,3.15,-1.20
25-June-2015,62.35,62.40,60.00,60.30,60.703505355404089581,6162,56,374055.00,4171,67.69,2.40,-2.05
24-June-2015,62.35,62.40,61.00,61.10,61.405733722060252672,2058,39,126373.00,1057,51.36,1.40,-1.25
23-June-2015,62.00,62.95,61.00,61.05,61.655467511885895404,3155,46,194523.00,1675,53.09,1.95,-0.95
22-June-2015,62.50,63.45,61.30,62.65,62.450366610265087422,3546,64,221449.00,2150,60.63,2.15,0.15
19-June-2015,61.50,63.40,60.50,61.05,61.432301740812379110,4136,48,254084.00,1150,27.80,2.90,-0.45
18-June-2015,59.90,62.90,59.90,60.75,61.311630847029077117,4746,71,290985.00,2711,57.12,3.00,0.85
17-June-2015,58.15,59.95,58.15,58.55,58.919913419913419913,462,10,27221.00,274,59.31,1.80,0.40
16-June-2015,59.25,61.50,59.00,60.00,59.996936819768635772,58436,103,3505981.00,51958,88.91,2.50,0.75
15-June-2015,57.00,61.75,56.05,61.60,59.782824698367636621,2818,48,168468.00,1885,66.89,5.70,4.60
12-June-2015,56.60,60.00,56.00,58.85,58.662668120683387858,2751,43,161381.00,2420,87.97,4.00,2.25
11-June-2015,57.75,58.00,56.95,57.00,57.462233699160748870,1549,19,89009.00,1523,98.32,1.05,-0.75
10-June-2015,60.00,61.00,57.00,57.60,58.494099978545376528,4661,65,272641.00,3650,78.31,4.00,-2.40
9-June-2015,61.00,62.40,59.00,59.15,61.339906103286384976,1065,27,65327.00,700,65.73,3.40,-1.85
8-June-2015,59.60,62.90,59.60,60.25,60.511873350923482849,758,26,45868.00,603,79.55,3.30,0.65
5-June-2015,61.35,63.00,60.20,60.80,61.615384615384615384,1274,38,78498.00,1080,84.77,2.80,-0.55
4-June-2015,62.20,63.95,60.85,61.25,61.275174593265966993,102524,46,6282176.00,101986,99.48,3.10,-0.95
3-June-2015,63.75,65.70,61.15,62.50,62.871079213184476342,3762,105,236521.00,2512,66.77,4.55,-1.25
2-June-2015,67.00,67.00,65.00,65.10,65.287777777777777777,900,25,58759.00,700,77.78,2.00,-1.90
